날짜,15:30 종가,02:00 종가
2025-01-24,1431.3,1431.4
2025-01-31,1452.7,1453.5
2025-02-03,1467.2,1462.0
2025-02-04,1462.9,1451.5
2025-02-05,1444.3,1443.5
2025-02-06,1447.7,1447.5
2025-02-07,1447.8,1454.0
2025-02-10,1451.2,1451.8
2025-02-11,1452.6,1452.2
2025-02-12,1453.4,1456.0
2025-02-13,1447.5,1446.6
2025-02-14,1443.5,1441.9
2025-02-17,1441.7,1442.0
2025-02-18,1443.7,1439.5
2025-02-19,1438.5,1441.4
2025-02-20,1437.9,1435.5
2025-02-21,1434.3,1433.7
2025-02-24,1427.4,1430.5
2025-02-25,1430.4,1434.4
2025-02-26,1433.1,1433.8
2025-02-27,1443.0,1445.3
2025-02-28,1463.4,1460.0
2025-03-04,1461.8,1460.3
2025-03-05,1454.5,1450.0
2025-03-06,1442.4,1445.8
2025-03-07,1446.8,1449.3
2025-03-10,1452.3,1455.5
2025-03-11,1458.2,1455.0
2025-03-12,1451.0,1452.6
2025-03-13,1453.8,1457.0
2025-03-14,1453.8,1453.0
2025-03-17,1447.9,1445.1
2025-03-18,1452.9,1451.1
2025-03-19,1453.4,1463.0
2025-03-20,1458.9,1466.7
2025-03-21,1462.7,1467.0
2025-03-24,1467.7,1469.7
2025-03-25,1469.2,1463.5
2025-03-26,1466.3,1467.3
2025-03-27,1465.3,1464.6
2025-03-28,1466.5,1469.9
2025-03-31,1472.9,1473.7
2025-04-01,1471.9,1471.4
2025-04-02,1466.6,1463.0
2025-04-03,1467.0,1453.5
2025-04-04,1434.1,1461.0
2025-04-07,1467.8,1472.0
2025-04-08,1473.2,1479.0
2025-04-09,1484.1,1472.0
2025-04-10,1456.4,1455.5
2025-04-11,1449.9,1421.0
2025-04-14,1424.1,1422.5
2025-04-15,1425.5,1427.2
2025-04-16,1426.7,1415.8
2025-04-17,1418.9,1416.6
2025-04-18,1423.3,1423.6
2025-04-21,1419.1,1421.5
2025-04-22,1420.6,1424.0
2025-04-23,1420.6,1427.2
2025-04-24,1435.0,1432.8
2025-04-25,1436.5,1439.8
2025-04-28,1442.6,1436.8
2025-04-29,1437.3,1432.0
2025-04-30,1421.0,1426.9
2025-05-02,1405.3,1401.5
2025-05-07,1398.0,1394.0
2025-05-08,1396.6,1406.9
2025-05-09,1400.0,1398.0
2025-05-12,1402.4,1417.0
2025-05-13,1416.0,1416.3
2025-05-14,1420.2,1404.5
2025-05-15,1394.5,1398.0
2025-05-16,1389.6,1400.0
2025-05-19,1397.8,1388.7
2025-05-20,1392.4,1394.4
2025-05-21,1387.2,1371.8
2025-05-22,1381.3,1382.7
2025-05-23,1375.6,1366.5
2025-05-26,1364.4,1370.5
2025-05-27,1369.5,1376.5
2025-05-28,1376.5,1376.0
2025-05-29,1375.9,1371.1
2025-05-30,1380.1,1383.1
2025-06-02,1373.1,1377.1
2025-06-04,1369.5,1364.1
2025-06-05,1358.4,1356.5
